Sales,COGS,Country,Date,Discount Band, Discounts,Gross Sales,Manufacturing Price,Month Name,Month Number,Product,Profit,Sale Price,Segment,Units Sold,Year
36753.6,19760,France,01/10/2014,Medium,2766.4,39520,120,October,10,Velo,16993.6,20,Government,1976,2014
16748.55,12270,France,01/10/2014,Medium,1656.45,18405,250,October,10,VTT,4478.55,15,Midmarket,1227,2014
490952,414440,France,01/11/2014,High,66948,557900,10,November,11,Paseo,76512,350,Government,1594,2014
18443.6,9410,France,01/11/2014,Low,376.4,18820,260,November,11,Amarilla,9033.6,20,Government,941,2014
4428.27,3195,France,01/11/2014,Low,44.73,4473,120,November,11,Velo,1233.27,7,Government,639,2014
215820,209280,France,01/11/2014,Low,2180,218000,250,November,11,VTT,6540,125,Enterprise,1744,2014
6762,4900,France,01/11/2014,Medium,588,7350,3,November,11,Carretera,1862,15,Midmarket,490,2014
26136.72,7026,France,01/11/2014,Medium,1967.28,28104,5,November,11,Montana,19110.72,12,Channel Partners,2342,2014
361452,331000,France,01/11/2014,Medium,35748,397200,10,November,11,Paseo,30452,300,Small Business,1324,2014
27972,20720,France,01/12/2014,High,3108,31080,260,December,12,Amarilla,7252,15,Midmarket,2072,2014
230310,213250,France,01/12/2014,High,25590,255900,260,December,12,Amarilla,17060,300,Small Business,853,2014
27972,20720,France,01/12/2014,High,3108,31080,5,December,12,Montana,7252,15,Midmarket,2072,2014
4981,2930,France,01/12/2014,High,879,5860,10,December,12,Paseo,2051,20,Government,293,2014
230310,213250,France,01/12/2014,High,25590,255900,120,December,12,Velo,17060,300,Small Business,853,2014
4981,2930,France,01/12/2014,High,879,5860,250,December,12,VTT,2051,20,Government,293,2014
746707.5,560300,France,01/12/2014,Low,7542.5,754250,3,December,12,Carretera,186407.5,350,Government,2155,2014
156048.75,154440,France,01/12/2014,Low,4826.25,160875,5,December,12,Montana,1608.75,125,Enterprise,1287,2014
12406.8,3165,France,01/12/2014,Low,253.2,12660,10,December,12,Paseo,9241.8,12,Channel Partners,1055,2014
156048.75,154440,France,01/12/2014,Low,4826.25,160875,10,December,12,Paseo,1608.75,125,Enterprise,1287,2014
746707.5,560300,France,01/12/2014,Low,7542.5,754250,10,December,12,Paseo,186407.5,350,Government,2155,2014
12406.8,3165,France,01/12/2014,Low,253.2,12660,120,December,12,Velo,9241.8,12,Channel Partners,1055,2014
16538.55,12435,France,01/12/2014,Medium,870.45,17409,3,December,12,Carretera,4103.55,7,Government,2487,2014
16538.55,12435,France,01/12/2014,Medium,870.45,17409,250,December,12,VTT,4103.55,7,Government,2487,2014
7690.8,4420,Germany,01/09/2013,High,1149.2,8840,3,September,9,Carretera,3270.8,20,Government,442,2013
8613,6600,Germany,01/09/2013,High,1287,9900,120,September,9,Velo,2013,15,Midmarket,660,2013
610081.5,467220,Germany,01/09/2013,Low,18868.5,628950,5,September,9,Montana,142861.5,350,Government,1797,2013
115552.5,119280,Germany,01/09/2013,Medium,8697.5,124250,260,September,9,Amarilla,-3727.5,125,Enterprise,994,2013
15513.96,12045,Germany,01/09/2013,Medium,1349.04,16863,10,September,9,Paseo,3468.96,7,Government,2409,2013
313317,280750,Germany,01/09/2013,Medium,23583,336900,10,September,9,Paseo,32567,300,Small Business,1123,2013
24719.4,6645,Germany,01/09/2013,Medium,1860.6,26580,250,September,9,VTT,18074.4,12,Channel Partners,2215,2013
53257.6,29920,Germany,01/10/2013,High,6582.4,59840,5,October,10,Montana,23337.6,20,Government,2992,2013
53257.6,29920,Germany,01/10/2013,High,6582.4,59840,10,October,10,Paseo,23337.6,20,Government,2992,2013
1017338,771160,Germany,01/10/2013,Low,20762,1038100,260,October,10,Amarilla,246178,350,Government,2966,2013
9100.08,2298,Germany,01/10/2013,Low,91.92,9192,3,October,10,Carretera,6802.08,12,Channel Partners,766,2013
62916,53500,Germany,01/10/2013,Low,1284,64200,3,October,10,Carretera,9416,300,Small Business,214,2013
9100.08,2298,Germany,01/10/2013,Low,91.92,9192,10,October,10,Paseo,6802.08,12,Channel Partners,766,2013
99102.5,97080,Germany,01/10/2013,Low,2022.5,101125,10,October,10,Paseo,2022.5,125,Enterprise,809,2013
28299.75,19450,Germany,01/10/2013,Low,875.25,29175,10,October,10,Paseo,8849.75,15,Midmarket,1945,2013
99102.5,97080,Germany,01/10/2013,Low,2022.5,101125,120,October,10,Velo,2022.5,125,Enterprise,809,2013
1017338,771160,Germany,01/10/2013,Low,20762,1038100,120,October,10,Velo,246178,350,Government,2966,2013
28299.75,19450,Germany,01/10/2013,Low,875.25,29175,250,October,10,VTT,8849.75,15,Midmarket,1945,2013
62916,53500,Germany,01/10/2013,Low,1284,64200,250,October,10,VTT,9416,300,Small Business,214,2013
7707.35,5795,Germany,01/10/2013,Medium,405.65,8113,260,October,10,Amarilla,1912.35,7,Government,1159,2013
7707.35,5795,Germany,01/10/2013,Medium,405.65,8113,5,October,10,Montana,1912.35,7,Government,1159,2013
654288,634000,Germany,01/11/2013,High,106512,760800,120,November,11,Velo,20288,300,Small Business,2536,2013
13240.5,9700,Germany,01/11/2013,Medium,1309.5,14550,260,November,11,Amarilla,3540.5,15,Midmarket,970,2013
6756.4,5080,Germany,01/11/2013,Medium,355.6,7112,3,November,11,Carretera,1676.4,7,Government,1016,2013
290625,300000,Germany,01/11/2013,Medium,21875,312500,5,November,11,Montana,-9375,125,Enterprise,2500,2013
19383,5325,Germany,01/11/2013,Medium,1917,21300,10,November,11,Paseo,14058,12,Channel Partners,1775,2013
691012,557960,Germany,01/11/2013,Medium,60088,751100,10,November,11,Paseo,133052,350,Government,2146,2013
43643,22970,Germany,01/11/2013,Medium,2297,45940,250,November,11,VTT,20673,20,Government,2297,2013
18478.8,5310,Germany,01/12/2013,High,2761.2,21240,260,December,12,Amarilla,13168.8,12,Channel Partners,1770,2013
589050,486200,Germany,01/12/2013,High,65450,654500,250,December,12,VTT,102850,350,Government,1870,2013
104222.5,106440,Germany,01/12/2013,Medium,6652.5,110875,3,December,12,Carretera,-2217.5,125,Enterprise,887,2013
91182,83500,Germany,01/12/2013,Medium,9018,100200,5,December,12,Montana,7682,300,Small Business,334,2013
13833.75,10625,Germany,01/12/2013,Medium,1041.25,14875,10,December,12,Paseo,3208.75,7,Government,2125,2013
30153,21160,Germany,01/12/2013,Medium,1587,31740,10,December,12,Paseo,8993,15,Midmarket,2116,2013
10936.8,5880,Germany,01/12/2013,Medium,823.2,11760,120,December,12,Velo,5056.8,20,Government,588,2013
352106.25,379800,Germany,01/01/2014,High,43518.75,395625,260,January,1,Amarilla,-27693.75,125,Enterprise,3165,2014
238609,199160,Germany,01/01/2014,High,29491,268100,5,January,1,Montana,39449,350,Government,766,2014
210627,201750,Germany,01/01/2014,High,31473,242100,10,January,1,Paseo,8877,300,Small Business,807,2014
9193.5,6810,Germany,01/01/2014,High,1021.5,10215,120,January,1,Velo,2383.5,15,Midmarket,681,2014
28855.56,7437,Germany,01/01/2014,Low,892.44,29748,250,January,1,VTT,21418.56,12,Channel Partners,2479,2014
9123.8,6860,Germany,01/01/2014,Medium,480.2,9604,10,January,1,Paseo,2263.8,7,Government,1372,2014
26420,13210,Germany,01/01/2014,None,0,26420,3,January,1,Carretera,13210,20,Government,1321,2014
47119.2,27080,Germany,01/02/2014,High,7040.8,54160,10,February,2,Paseo,20039.2,20,Government,2708,2014
3586.2,2780,Germany,01/02/2014,High,583.8,4170,10,February,2,Paseo,806.2,15,Midmarket,278,2014
13294.82,9790,Germany,01/02/2014,Low,411.18,13706,5,February,2,Montana,3504.82,7,Government,1958,2014
448875,351000,Germany,01/02/2014,Medium,23625,472500,260,February,2,Amarilla,97875,350,Government,1350,2014
12722.4,3348,Germany,01/02/2014,Medium,669.6,13392,3,February,2,Carretera,9374.4,12,Channel Partners,1116,2014
95831.25,96840,Germany,01/02/2014,Medium,5043.75,100875,120,February,2,Velo,-1008.75,125,Enterprise,807,2014
725907,664750,Germany,01/02/2014,Medium,71793,797700,250,February,2,VTT,61157,300,Small Business,2659,2014
246708,205920,Germany,01/03/2014,High,30492,277200,3,March,3,Carretera,40788,350,Government,792,2014
19686,11580,Germany,01/03/2014,High,3474,23160,10,March,3,Paseo,8106,20,Government,1158,2014
76146,64750,Germany,01/03/2014,Low,1554,77700,260,March,3,Amarilla,11396,300,Small Business,259,2014
95400,95400,Germany,01/03/2014,Low,3975,99375,10,March,3,Paseo,0,125,Enterprise,795,2014
1822.59,1315,Germany,01/03/2014,Low,18.41,1841,250,March,3,VTT,507.59,7,Government,263,2014
13815,9210,Germany,01/03/2014,None,0,13815,5,March,3,Montana,4605,15,Midmarket,921,2014
25932,6483,Germany,01/03/2014,None,0,25932,120,March,3,Velo,19449,12,Channel Partners,2161,2014
360899,311740,Germany,01/04/2014,High,58751,419650,5,April,4,Montana,49159,350,Government,1199,2014
6885,5100,Germany,01/04/2014,High,765,7650,120,April,4,Velo,1785,15,Midmarket,510,2014
50052,25800,Germany,01/04/2014,Low,1548,51600,3,April,4,Carretera,24252,20,Government,2580,2014
407376,353625,Germany,01/04/2014,Low,16974,424350,10,April,4,Paseo,53751,300,Small Business,1414.5,2014
8107.96,6295,Germany,01/04/2014,Medium,705.04,8813,10,April,4,Paseo,1812.96,7,Government,1259,2014
527437.5,506340,Germany,01/04/2014,None,0,527437.5,260,April,4,Amarilla,21097.5,125,Enterprise,4219.5,2014
34056,8514,Germany,01/04/2014,None,0,34056,250,April,4,VTT,25542,12,Channel Partners,2838,2014
278810,273120,Germany,01/05/2014,Low,5690,284500,260,May,5,Amarilla,5690,125,Enterprise,2276,2014
508032,432000,Germany,01/05/2014,Low,10368,518400,10,May,5,Paseo,76032,300,Small Business,1728,2014
12066.6,6630,Germany,01/05/2014,Medium,1193.4,13260,3,May,5,Carretera,5436.6,20,Government,663,2014
480340,379600,Germany,01/05/2014,Medium,30660,511000,5,May,5,Montana,100740,350,Government,1460,2014
7051.8,5475,Germany,01/05/2014,Medium,613.2,7665,10,May,5,Paseo,1576.8,7,Government,1095,2014
21573,15300,Germany,01/05/2014,Medium,1377,22950,120,May,5,Velo,6273,15,Midmarket,1530,2014
9609.6,2640,Germany,01/05/2014,Medium,950.4,10560,250,May,5,VTT,6969.6,12,Channel Partners,880,2014
200499,172250,Germany,01/06/2014,Low,6201,206700,3,June,6,Carretera,28249,300,Small Business,689,2014
190362.5,188400,Germany,01/06/2014,Low,5887.5,196250,10,June,6,Paseo,1962.5,125,Enterprise,1570,2014
200499,172250,Germany,01/06/2014,Low,6201,206700,10,June,6,Paseo,28249,300,Small Business,689,2014
190362.5,188400,Germany,01/06/2014,Low,5887.5,196250,250,June,6,VTT,1962.5,125,Enterprise,1570,2014
25134.4,13660,Germany,01/06/2014,Medium,2185.6,27320,260,June,6,Amarilla,11474.4,20,Government,1366,2014
25134.4,13660,Germany,01/06/2014,Medium,2185.6,27320,10,June,6,Paseo,11474.4,20,Government,1366,2014
15056.72,11690,Germany,01/06/2014,Medium,1309.28,16366,120,June,6,Velo,3366.72,7,Government,2338,2014
15056.72,11690,Germany,01/06/2014,Medium,1309.28,16366,250,June,6,VTT,3366.72,7,Government,2338,2014
13320,8880,Germany,01/06/2014,None,0,13320,3,June,6,Carretera,4440,15,Midmarket,888,2014
18540,4635,Germany,01/06/2014,None,0,18540,5,June,6,Montana,13905,12,Channel Partners,1545,2014
352100,261560,Germany,01/06/2014,None,0,352100,10,June,6,Paseo,90540,350,Government,1006,2014
18540,4635,Germany,01/06/2014,None,0,18540,120,June,6,Velo,13905,12,Channel Partners,1545,2014
352100,261560,Germany,01/06/2014,None,0,352100,120,June,6,Velo,90540,350,Government,1006,2014
13320,8880,Germany,01/06/2014,None,0,13320,250,June,6,VTT,4440,15,Midmarket,888,2014
750537,702750,Germany,01/07/2014,High,92763,843300,3,July,7,Carretera,47787,300,Small Business,2811,2014
6273,4920,Germany,01/07/2014,High,1107,7380,250,July,7,VTT,1353,15,Midmarket,492,2014
11868,6450,Germany,01/07/2014,Medium,1032,12900,5,July,7,Montana,5418,20,Government,645,2014
408386.25,421560,Germany,01/07/2014,Medium,30738.75,439125,10,July,7,Paseo,-13173.75,125,Enterprise,3513,2014
416279.5,339820,Germany,01/07/2014,Medium,41170.5,457450,120,July,7,Velo,76459.5,350,Government,1307,2014
11802,8430,Germany,01/07/2014,None,0,11802,260,July,7,Amarilla,3372,7,Government,1686,2014
4404,1101,Germany,01/07/2014,None,0,4404,10,July,7,Paseo,3303,12,Channel Partners,367,2014
27799.2,7722,Germany,01/08/2014,High,3088.8,30888,260,August,8,Amarilla,20077.2,12,Channel Partners,2574,2014
293993.75,332040,Germany,01/08/2014,High,51881.25,345875,3,August,8,Carretera,-38046.25,125,Enterprise,2767,2014
535392,464750,Germany,01/08/2014,Low,22308,557700,5,August,8,Montana,70642,300,Small Business,1859,2014
10291.12,7990,Germany,01/08/2014,Medium,894.88,11186,10,August,8,Paseo,2301.12,7,Government,1598,2014
24576.3,17430,Germany,01/08/2014,Medium,1568.7,26145,10,August,8,Paseo,7146.3,15,Midmarket,1743,2014
18818.8,10010,Germany,01/08/2014,Medium,1201.2,20020,120,August,8,Velo,8808.8,20,Government,1001,2014
135884,109720,Germany,01/08/2014,Medium,11816,147700,250,August,8,VTT,26164,350,Government,422,2014
640752,495820,Germany,01/09/2014,Low,26698,667450,260,September,9,Amarilla,144932,350,Government,1907,2014
11092.95,7470,Germany,01/09/2014,Low,112.05,11205,10,September,9,Paseo,3622.95,15,Midmarket,747,2014
292842,246500,Germany,01/09/2014,Low,2958,295800,250,September,9,VTT,46342,300,Small Business,986,2014
17253.6,4740,Germany,01/09/2014,Medium,1706.4,18960,3,September,9,Carretera,12513.6,12,Channel Partners,1580,2014
35585.6,19340,Germany,01/09/2014,Medium,3094.4,38680,10,September,9,Paseo,16245.6,20,Government,1934,2014
242613.75,250440,Germany,01/09/2014,Medium,18261.25,260875,120,September,9,Velo,-7826.25,125,Enterprise,2087,2014
15022,10730,Germany,01/09/2014,None,0,15022,5,September,9,Montana,4292,7,Government,2146,2014
5040.96,1416,Germany,01/10/2014,High,623.04,5664,260,October,10,Amarilla,3624.96,12,Channel Partners,472,2014
115281.25,130200,Germany,01/10/2014,High,20343.75,135625,3,October,10,Carretera,-14918.75,125,Enterprise,1085,2014
115281.25,130200,Germany,01/10/2014,High,20343.75,135625,10,October,10,Paseo,-14918.75,125,Enterprise,1085,2014
4338,2410,Germany,01/10/2014,High,482,4820,10,October,10,Paseo,1928,20,Government,241,2014
14981.25,11750,Germany,01/10/2014,High,2643.75,17625,10,October,10,Paseo,3231.25,15,Midmarket,1175,2014
5040.96,1416,Germany,01/10/2014,High,623.04,5664,120,October,10,Velo,3624.96,12,Channel Partners,472,2014
4338,2410,Germany,01/10/2014,High,482,4820,120,October,10,Velo,1928,20,Government,241,2014
14981.25,11750,Germany,01/10/2014,High,2643.75,17625,250,October,10,VTT,3231.25,15,Midmarket,1175,2014
582048,505250,Germany,01/10/2014,Low,24252,606300,3,October,10,Carretera,76798,300,Small Business,2021,2014
582048,505250,Germany,01/10/2014,Low,24252,606300,5,October,10,Montana,76798,300,Small Business,2021,2014
986811,748020,Germany,01/10/2014,Low,20139,1006950,120,October,10,Velo,238791,350,Government,2877,2014
986811,748020,Germany,01/10/2014,Low,20139,1006950,250,October,10,VTT,238791,350,Government,2877,2014
2293.2,1800,Germany,01/10/2014,Medium,226.8,2520,10,October,10,Paseo,493.2,7,Government,360,2014
2293.2,1800,Germany,01/10/2014,Medium,226.8,2520,250,October,10,VTT,493.2,7,Government,360,2014
19517.7,15130,Germany,01/11/2014,High,3177.3,22695,3,November,11,Carretera,4387.7,15,Midmarket,1513,2014
108706.5,92820,Germany,01/11/2014,High,16243.5,124950,10,November,11,Paseo,15886.5,350,Government,357,2014
358776,339750,Germany,01/11/2014,High,48924,407700,10,November,11,Paseo,19026,300,Small Business,1359,2014
16789.5,13325,Germany,01/11/2014,High,1865.5,18655,120,November,11,Velo,3464.5,7,Government,2665,2014
58650,66240,Germany,01/11/2014,High,10350,69000,250,November,11,VTT,-7590,125,Enterprise,552,2014
27968,15200,Germany,01/11/2014,Medium,2432,30400,260,November,11,Amarilla,12768,20,Government,1520,2014
26698.8,7026,Germany,01/11/2014,Medium,1405.2,28104,5,November,11,Montana,19672.8,12,Channel Partners,2342,2014
1685.6,1400,Germany,01/12/2014,High,274.4,1960,3,December,12,Carretera,285.6,7,Government,280,2014
10575.72,3039,Germany,01/12/2014,High,1580.28,12156,10,December,12,Paseo,7536.72,12,Channel Partners,1013,2014
26945.6,15310,Germany,01/12/2014,High,3674.4,30620,10,December,12,Paseo,11635.6,20,Government,1531,2014
10575.72,3039,Germany,01/12/2014,High,1580.28,12156,120,December,12,Velo,7536.72,12,Channel Partners,1013,2014
28631.2,16710,Germany,01/12/2014,High,3948.8,32580,500,December,24,VTT,11921.2,27,Government,1811,4028
206852.5,204720,Germany,01/12/2014,Low,6397.5,213250,5,December,12,Montana,2132.5,125,Enterprise,1706,2014
206852.5,204720,Germany,01/12/2014,Low,6397.5,213250,10,December,12,Paseo,2132.5,125,Enterprise,1706,2014
9811.8,7110,Germany,01/12/2014,Medium,853.2,10665,260,December,12,Amarilla,2701.8,15,Midmarket,711,2014
356250,312500,Germany,01/12/2014,Medium,18750,375000,260,December,12,Amarilla,43750,300,Small Business,1250,2014
9811.8,7110,Germany,01/12/2014,Medium,853.2,10665,5,December,12,Montana,2701.8,15,Midmarket,711,2014
356250,312500,Germany,01/12/2014,Medium,18750,375000,120,December,12,Velo,43750,300,Small Business,1250,2014
529550,393380,Germany,01/12/2014,None,0,529550,3,December,12,Carretera,136170,350,Government,1513,2014
529550,393380,Germany,01/12/2014,None,0,529550,10,December,12,Paseo,136170,350,Government,1513,2014
105353.75,113640,Mexico,01/09/2013,High,13021.25,118375,260,September,9,Amarilla,-8286.25,125,Enterprise,947,2013
8744.25,6550,Mexico,01/09/2013,High,1080.75,9825,120,September,9,Velo,2194.25,15,Midmarket,655,2013
10733.4,3015,Mexico,01/09/2013,High,1326.6,12060,250,September,9,VTT,7718.4,12,Channel Partners,1005,2013
11950.4,8800,Mexico,01/09/2013,Low,369.6,12320,10,September,9,Paseo,3150.4,7,Government,1760,2013
34112.4,18340,Mexico,01/09/2013,Medium,2567.6,36680,3,September,9,Carretera,15772.4,20,Government,1834,2013
239400,187200,Mexico,01/09/2013,Medium,12600,252000,5,September,9,Montana,52200,350,Government,720,2013
236400,197000,Mexico,01/09/2013,None,0,236400,10,September,9,Paseo,39400,300,Small Business,788,2013
117552.54,98075,Mexico,01/10/2013,High,14936.46,132489,520,October,20,Amarilla,19477.54,357,Government,2071,4026
40580.54,25785,Mexico,01/10/2013,High,5808.46,46389,10,October,20,Montana,14795.54,27,Government,3442,4026
30184,17150,Mexico,01/10/2013,High,4116,34300,10,October,10,Paseo,13034,20,Government,1715,2013
107156,89440,Mexico,01/10/2013,High,13244,120400,120,October,10,Velo,17716,350,Government,344,2013
146718,123500,Mexico,01/10/2013,Low,1482,148200,3,October,10,Carretera,23218,300,Small Business,494,2013
262762.5,257400,Mexico,01/10/2013,Low,5362.5,268125,10,October,10,Paseo,5362.5,125,Enterprise,2145,2013
21801.6,15140,Mexico,01/10/2013,Low,908.4,22710,10,October,10,Paseo,6661.6,15,Midmarket,1514,2013
262762.5,257400,Mexico,01/10/2013,Low,5362.5,268125,120,October,10,Velo,5362.5,125,Enterprise,2145,2013
21801.6,15140,Mexico,01/10/2013,Low,908.4,22710,250,October,10,VTT,6661.6,15,Midmarket,1514,2013
146718,123500,Mexico,01/10/2013,Low,1482,148200,250,October,10,VTT,23218,300,Small Business,494,2013
4007.64,1101,Mexico,01/10/2013,Medium,396.36,4404,3,October,10,Carretera,2906.64,12,Channel Partners,367,2013
4007.64,1101,Mexico,01/10/2013,Medium,396.36,4404,10,October,10,Paseo,2906.64,12,Channel Partners,367,2013
24123,18700,Mexico,01/11/2013,High,3927,28050,260,November,11,Amarilla,5423,15,Midmarket,1870,2013
16858.38,13530,Mexico,01/11/2013,High,2083.62,18942,3,November,11,Carretera,3328.38,7,Government,2706,2013
639922.5,559260,Mexico,01/11/2013,High,112927.5,752850,10,November,11,Paseo,80662.5,350,Government,2151,2013
679905,651250,Mexico,01/11/2013,High,101595,781500,120,November,11,Velo,28655,300,Small Business,2605,2013
203350,199200,Mexico,01/11/2013,Low,4150,207500,5,November,11,Montana,4150,125,Enterprise,1660,2013
30835.08,8289,Mexico,01/11/2013,Medium,2320.92,33156,10,November,11,Paseo,22546.08,12,Channel Partners,2763,2013
21112.4,11230,Mexico,01/11/2013,Medium,1347.6,22460,250,November,11,VTT,9882.4,20,Government,1123,2013
303257.5,338520,Mexico,01/12/2013,High,49367.5,352625,3,December,12,Carretera,-35262.5,125,Enterprise,2821,2013
5016,3800,Mexico,01/12/2013,High,684,5700,10,December,12,Paseo,1216,15,Midmarket,380,2013
10662.4,5440,Mexico,01/12/2013,Low,217.6,10880,120,December,12,Velo,5222.4,20,Government,544,2013
665420,504400,Mexico,01/12/2013,Low,13580,679000,250,December,12,VTT,161020,350,Government,1940,2013
15180,4125,Mexico,01/12/2013,Medium,1320,16500,260,December,12,Amarilla,11055,12,Channel Partners,1375,2013
313500,275000,Mexico,01/12/2013,Medium,16500,330000,5,December,12,Montana,38500,300,Small Business,1100,2013
12532.24,9730,Mexico,01/12/2013,Medium,1089.76,13622,10,December,12,Paseo,2802.24,7,Government,1946,2013
46796.2,26290,Mexico,01/01/2014,High,5783.8,52580,260,January,1,Amarilla,20506.2,20,Government,2629,2014
61632.5,66480,Mexico,01/01/2014,High,7617.5,69250,250,January,1,VTT,-4847.5,125,Enterprise,554,2014
26114.4,7020,Mexico,01/01/2014,Medium,1965.6,28080,5,January,1,Montana,19094.4,12,Channel Partners,2340,2014
769814.5,628420,Mexico,01/01/2014,Medium,76135.5,845950,10,January,1,Paseo,141394.5,350,Government,2417,2014
700245,641250,Mexico,01/01/2014,Medium,69255,769500,10,January,1,Paseo,58995,300,Small Business,2565,2014
40769.25,28610,Mexico,01/01/2014,Medium,2145.75,42915,120,January,1,Velo,12159.25,15,Midmarket,2861,2014
10451,7465,Mexico,01/01/2014,None,0,10451,120,January,1,Velo,2986,7,Government,1493,2014
8139.6,6840,Mexico,01/02/2014,High,1436.4,9576,5,February,2,Montana,1299.6,7,Government,1368,2014
4472,2600,Mexico,01/02/2014,High,728,5200,10,February,2,Paseo,1872,20,Government,260,2014
169312.5,189000,Mexico,01/02/2014,High,27562.5,196875,120,February,2,Velo,-19687.5,125,Enterprise,1575,2014
626640,484900,Mexico,01/02/2014,Low,26110,652750,260,February,2,Amarilla,141740,350,Government,1865,2014
8113.32,2181,Mexico,01/02/2014,Medium,610.68,8724,3,February,2,Carretera,5932.32,12,Channel Partners,727,2014
766413,686750,Mexico,01/02/2014,Medium,57687,824100,250,February,2,VTT,79663,300,Small Business,2747,2014
14610,9740,Mexico,01/02/2014,None,0,14610,10,February,2,Paseo,4870,15,Midmarket,974,2014
19971.6,11220,Mexico,01/03/2014,High,2468.4,22440,10,March,3,Paseo,8751.6,20,Government,1122,2014
5100,1500,Mexico,01/03/2014,High,900,6000,120,March,3,Velo,3600,12,Channel Partners,500,2014
17476.06,14515,Mexico,01/03/2014,High,2844.94,20321,250,March,3,VTT,2961.06,7,Government,2903,2014
323694,275250,Mexico,01/03/2014,Low,6606,330300,260,March,3,Amarilla,48444,300,Small Business,1101,2014
419265,314600,Mexico,01/03/2014,Low,4235,423500,3,March,3,Carretera,104665,350,Government,1210,2014
32877.9,22140,Mexico,01/03/2014,Low,332.1,33210,5,March,3,Montana,10737.9,15,Midmarket,2214,2014
128110,133680,Mexico,01/03/2014,Medium,11140,139250,10,March,3,Paseo,-5570,125,Enterprise,1114,2014
44358.8,25790,Mexico,01/04/2014,High,7221.2,51580,3,April,4,Carretera,18568.8,20,Government,2579,2014
15083.25,12675,Mexico,01/04/2014,High,2661.75,17745,10,April,4,Paseo,2408.25,7,Government,2535,2014
128880,128880,Mexico,01/04/2014,Low,5370,134250,260,April,4,Amarilla,0,125,Enterprise,1074,2014
22302.24,5748,Mexico,01/04/2014,Low,689.76,22992,250,April,4,VTT,16554.24,12,Channel Partners,1916,2014
322420,254800,Mexico,01/04/2014,Medium,20580,343000,5,April,4,Montana,67620,350,Government,980,2014
457995,401750,Mexico,01/04/2014,Medium,24105,482100,10,April,4,Paseo,56245,300,Small Business,1607,2014
35872.2,26280,Mexico,01/04/2014,Medium,3547.8,39420,120,April,4,Velo,9592.2,15,Midmarket,2628,2014
36702,20390,Mexico,01/05/2014,High,4078,40780,260,May,5,Amarilla,16312,20,Government,2039,2014
28100.16,7983,Mexico,01/05/2014,High,3831.84,31932,5,May,5,Montana,20117.16,12,Channel Partners,2661,2014
848172.5,741260,Mexico,01/05/2014,High,149677.5,997850,10,May,5,Paseo,106912.5,350,Government,2851,2014
159570,147750,Mexico,01/05/2014,High,17730,177300,10,May,5,Paseo,11820,300,Small Business,591,2014
38362.5,40920,Mexico,01/05/2014,High,4262.5,42625,250,May,5,VTT,-2557.5,125,Enterprise,341,2014
2508.66,1810,Mexico,01/05/2014,Low,25.34,2534,120,May,5,Velo,698.66,7,Government,362,2014
3344.25,2450,Mexico,01/05/2014,Medium,330.75,3675,120,May,5,Velo,894.25,15,Midmarket,245,2014
272888,230360,Mexico,01/06/2014,High,37212,310100,3,June,6,Carretera,42528,350,Government,886,2014
6305.76,1812,Mexico,01/06/2014,High,942.24,7248,5,June,6,Montana,4493.76,12,Channel Partners,604,2014
272888,230360,Mexico,01/06/2014,High,37212,310100,10,June,6,Paseo,42528,350,Government,886,2014
6305.76,1812,Mexico,01/06/2014,High,942.24,7248,120,June,6,Velo,4493.76,12,Channel Partners,604,2014
81095,79440,Mexico,01/06/2014,Low,1655,82750,10,June,6,Paseo,1655,125,Enterprise,662,2014
81095,79440,Mexico,01/06/2014,Low,1655,82750,250,June,6,VTT,1655,125,Enterprise,662,2014
18891.6,10380,Mexico,01/06/2014,Medium,1868.4,20760,260,June,6,Amarilla,8511.6,20,Government,1038,2014
678960,615000,Mexico,01/06/2014,Medium,59040,738000,260,June,6,Amarilla,63960,300,Small Business,2460,2014
18891.6,10380,Mexico,01/06/2014,Medium,1868.4,20760,10,June,6,Paseo,8511.6,20,Government,1038,2014
678960,615000,Mexico,01/06/2014,Medium,59040,738000,10,June,6,Paseo,63960,300,Small Business,2460,2014
9856.84,7490,Mexico,01/06/2014,Medium,629.16,10486,120,June,6,Velo,2366.84,7,Government,1498,2014
9856.84,7490,Mexico,01/06/2014,Medium,629.16,10486,250,June,6,VTT,2366.84,7,Government,1498,2014
37050,24700,Mexico,01/06/2014,None,0,37050,3,June,6,Carretera,12350,15,Midmarket,2470,2014
37050,24700,Mexico,01/06/2014,None,0,37050,5,June,6,Montana,12350,15,Midmarket,2470,2014
206658,200250,Mexico,01/07/2014,High,33642,240300,3,July,7,Carretera,6408,300,Small Business,801,2014
39237,22550,Mexico,01/07/2014,High,5863,45100,5,July,7,Montana,16687,20,Government,2255,2014
5961.24,1713,Mexico,01/07/2014,High,890.76,6852,10,July,7,Paseo,4248.24,12,Channel Partners,571,2014
429660,362700,Mexico,01/07/2014,High,58590,488250,120,July,7,Velo,66960,350,Government,1395,2014
8653.5,6410,Mexico,01/07/2014,High,961.5,9615,250,July,7,VTT,2243.5,15,Midmarket,641,2014
225596.25,218760,Mexico,01/07/2014,Low,2278.75,227875,10,July,7,Paseo,6836.25,125,Enterprise,1823,2014
11191.95,8415,Mexico,01/07/2014,Medium,589.05,11781,260,July,7,Amarilla,2776.95,7,Government,1683,2014
26486.4,19840,Mexico,01/08/2014,High,3273.6,29760,10,August,8,Paseo,6646.4,15,Midmarket,1984,2014
